,loss,acc
0,0.715684175491333,0.5
1,2.2174179553985596,0.75
2,15.51353645324707,0.25
3,3.9342002868652344,0.25
4,13.387242317199707,0.5
5,7.008898735046387,0.5
6,2.772930145263672,0.25
7,1.1347997188568115,0.75
8,8.310104370117188,0.25
9,1.8748807907104492,0.75
10,10.01290512084961,0.5
11,15.770445823669434,0.0
12,0.7700955867767334,0.75
13,8.51407241821289,0.5
14,0.0,1.0
15,11.20494270324707,0.5
16,4.775219917297363,0.75
17,2.4513635635375977,0.5
18,1.7007614374160767,0.75
19,4.846407890319824,0.5
20,5.2283124923706055,0.5
21,1.2754486799240112,0.75
22,0.1174168810248375,1.0
23,3.925100564956665,0.5
24,4.982154846191406,0.25
25,0.41992464661598206,0.75
26,2.1911439895629883,0.25
27,1.0106168985366821,0.5
28,0.8268072605133057,0.75
29,1.1113916635513306,0.5
30,0.9939165115356445,0.75
31,2.4299421310424805,0.5
32,0.43796128034591675,0.75
33,3.0053699016571045,0.0
34,2.602790355682373,0.5
35,1.5113252401351929,0.75
36,1.0038899183273315,0.75
37,0.7831641435623169,0.75
38,0.4530448317527771,0.75
39,0.7472761869430542,0.5
40,0.8039295673370361,0.5
41,0.14159539341926575,1.0
42,1.1010706424713135,0.5
43,1.0113780498504639,0.75
44,0.07740266621112823,1.0
45,0.984359085559845,0.5
46,1.6024582386016846,0.5
47,0.860153079032898,0.75
48,0.7324066758155823,0.75
49,2.160796880722046,0.5
50,0.4071454405784607,0.75
51,1.474526286125183,0.75
52,0.27423787117004395,0.75
53,0.2925407588481903,0.75
54,0.43778663873672485,0.75
55,0.7231248617172241,0.75
56,0.9035951495170593,0.5
57,0.4386104345321655,0.75
58,0.11497306078672409,1.0
59,0.1575952023267746,1.0
60,0.8535100221633911,0.25
61,0.3706616759300232,0.75
62,0.38486525416374207,0.75
63,0.546043872833252,0.5
64,0.2500799596309662,1.0
65,0.2479282021522522,1.0
66,0.2789919674396515,0.75
67,0.5668841004371643,0.5
68,0.4679323434829712,0.75
69,0.9254714250564575,0.25
70,0.3032057583332062,0.75
71,0.7316888570785522,0.5
72,0.5608726739883423,0.5
73,0.5671875476837158,0.5
74,0.28088515996932983,1.0
75,0.4617457091808319,0.75
76,0.31773805618286133,0.75
77,0.2186528593301773,1.0
78,0.2802570164203644,0.75
79,1.2315537929534912,0.5
80,0.8576167225837708,0.75
81,0.4836699962615967,0.75
82,0.17273163795471191,1.0
83,0.22357749938964844,0.75
84,0.2811734974384308,1.0
85,0.0597572848200798,1.0
86,0.38009577989578247,0.75
87,0.2066478431224823,0.75
88,0.1374908983707428,1.0
89,0.14721257984638214,1.0
90,0.23607507348060608,1.0
91,0.27984750270843506,0.75
92,0.5275680422782898,0.75
93,0.19969649612903595,1.0
94,0.290210485458374,1.0
95,0.6161702275276184,0.75
96,0.31167304515838623,0.75
97,0.22261318564414978,1.0
98,0.38240140676498413,0.75
99,0.07619378715753555,1.0
